Text,Class
@mish_chortova @nnxiyon Ты сначала додумался под каким кустом он заснул на этот раз а потом уже отжимай,0
Эйнштейн был прав: выходные - понятие относительное)) #RT,1
"мне кажется, что я такая депрессивная бич

а поч кажется, тАк и ЕстЬ",2
@_aussiesie о давай че,0
надо загрузить лабу а он упал,2
"жители Москвы и ближайшего подмосковья, заберите меня пожалуйста с работы ;-)",1
@_bakana_ ты угадал,1
"Вышла в 8:30, в 9 приступила, в 18:00 меня отпустили",0
"не, реально, у меня просто голова уже разболелась из-за этого, мысленно ругаюсь",2
"этот момент) первый и последний сегменты мертвы, а центральная жива. и в доме больше никого. прям до мурашек http://t.co/SyMh8aDZDF",1
"@MBKhMedia Это онанизм, а не хоккей",2
"Салю, Чад 🖐

Фото: Ирина Емельяненко
Томская область, 2019 г. 

📚 Архив Чадов: https://t.co/uGyWEKifEi https://t.co/LYcpShb2JI",0
"@hamunaptraaa Блять, и не говори 🤬",2
@Nodir8885 Оргинал,0
В Дагестане восстановили отстраненного по подозрению в коррупции врача https://t.co/WqzM2Ry5dR #press-reliz,0
РОССИНЕ ЕБНУТЫЕ ГДЕ ГОЛОС БЕЛАРУСИ Ф пиздецц https://t.co/tL34av0V5j,2
"@natusiis как их можно хейтить, буквально лучший знак...",0
"я хотел бы осуждать вас,
но люди, увы,
я совсем такой же как вы..:(",2
По моей одноразовой маске археологи даже через тысячу лет смогут восстановить слепок моего черепа🤔,0
@Mortimerrrrrr1 Да и чо дальше,0
"@zelenoe_serdce @ia_frank @DaniilCraft Не, эт чото слишком страшно выглядит, я слишком хрупенькая и буду потом вся в синяках да потертостях",2
@rianru улики бывают когда есть дело. дела нет-нет и улик. хотя в говносрашке может быть все что угодно.,2
На границах проверяют на наличие неоплаченных штрафов https://t.co/bw8Uhrr6IT,0
"Натаааш @astra_ny ))
я визгоприемник включила и антенну на тебя настроила 😏🤫 https://t.co/TVZeczi9Zu",1
@Boolmilliona нет,0
"@Bianchicko она должна оч круто петь. Танцевать не надо ,а вот петь - эт должна быть монстр. Послушай песенку к ней и поймешь)",1
"@JuliaUreneva женщинаааааааа, с днем рождения тебя!:* всяких веселостей тебе,хорошего настроения, успехов в спорте",1
"@msa_kla ахах, всех люблю ;))
настроение отличное :D",1
@magic_eblan нравится,1
Как же я блять ненавижу хинату честное слово сколько лет прошло уже,2
"@maxim_nm @Belsat_TV Это у Рамзана.
В Беларуси - на картоху отправляют... А после, вероятно, там же и закапывают...",2
"Последний твит,точно не про мой класс ахах. :) мы можем жрать на всех уроках,даже на физ-ре. :D",1
Поскорее бы всё это закончилось и с хорошими работами🏺🛡️😹 https://t.co/qFw0rbwpJa,1
какие красивые девочки у тайлера https://t.co/OxZrYTiALt,1
@Per4atkiPav Как раз таки нет),0
"@V1ADOLOROSA ну по медицинским основаниям у нас смена пола возможна, и смена документов, соответственно",0
@boikobogdan1 Трибуналу тоже нужны доказательства🤷🏿‍♀️Так что это надолго,0
"@sickbastaard это да, но этим они показывают свою некультурность.",2
"В какой момент пропустил то, что Малфой двоюродный брат Тонкс??",0
Репетиция перед выступлением ))) http://t.co/IgZoLTx9Fm,1
@StarshinaZapasa Пусть лучше учит свою жену щи варить!,0
@myafli Мы с @DollyKeiiy  тебя полностью поддерживаем!,1
"относитесь к сексу с юмором: не встал, похохотали и баиньки =) http://t.co/KGZ5zDmYOU",1
"@E7TeHVjFCRAuFJw Может быть. Но интересно то, что сон повторяется часто и в течение длительного времени🤔",0
Для чего ты чаще всего используешь указательный палец? — мм классный вопрос ))) http://t.co/vhF9HO7Vmy,1
ДА ПРОБЕЛ БЛЯТЬ,2
"@PPashchenko а нефиг отвыкать от наших морозов :D
Переехала она значит в вечное лето ахаха",1
"Этот декабрь рулит!
Завтра 13.12.13 12:13:12 
Те,кто проспал 11.12.13 11:12:13 и 11.12.13 14:15:16 У ВАС ЕЩЕ ЕСТЬ ШАНС ЗАВТРА!!:D",1
Гидра в Hades сменила паттерн. Внешне при этом она не отличается,0
Завтрак в постель - 2 тоста с сыром и чашка черного чая - лучшее пробуждение))),1
@totsamylysy Закрыл финансовое окно,0
@soya_dinosaurs омг аккуратней🥺,0
Кто ищет тот всегда найдет??? Уже 3 месяца в поисках работы... Похоже пословица не про меня ))),1
"@uliana2345 раньше по крайней мере в веб-версии твиттера была возможность скачать свой архив. Может, тебе это будет полезно",0
@Marishka1970 Тоже хорошо!👍😋,1
@conscienceyours Так мне аватарка твоя нравится,1
"Скучаю каждый день, что мы не видимся",1
@Gulerot2 Ну вы посмотрите как этот зайчик🐰 улыбается ✨🥰😍,1
@aloyelka Жесть)),2
"я думаю мне бессмысленно делать пост про 4 девушек в моем вкусе, потому что я просто кину 4 фотки Сакуры........",0
"Так зомбята ,знаете что вам скажу
ВЫ ВСЕ ПРОСТО КРАСАВЧИКИ И 1000000% КОМУ-ТО ДОРОГИ!!! 
И вы должны это помнить и ниииикогда не забывать))💝",1
"я боюсь идти в больницу (( врачи всегда мне запрещали заниматься ( а тут еще и колено, мне хана !:(",2
@IL0VEH0NGJ00NG ты в 6 пошла получается ???,0
@Sandrrrraaaaa_ Чтоб хомячье не пошло прививаться и им больше досталось,2
@maxim_nm И пятен жёлтых не заметно...,0
"@vdsarkisyan если бы я понимала, что значит 7 ААА",0
"@zmaxims @ebatushka присоединяюсь, и мне тоже любопытно)",1
"@soan9 да в том же TTGL визуал был куда лучше, как по мне...",2
"RT @1Sokolooov: @egorkreed теперь видосы на #youtube выкладывает) стану постоянным гостем ютьюба теперь) нереально крутые видосы, поднимают…",1
@Goldhend22 @AndriS_1128 @5Lilit @ikairika Бывает гормональное,0
"Класс, опять из всех дел за день я успела заняться только хуйней. Продуктивность 10/10",2
"Сейчас еду на учебу,думала как всегда ее про**у,но я успеваю)",1
"Единственный среди них, кто вёл себя достойно.",0
"Скажите мне, что мне кажется что моя кукуха поехала...",0
@bouwgx стоп а третий что это кто это,0
"Сегодня узнала, что в школе будет елка^^ круто, давно хотела потанцевать..не хочу вспоминать тот год, было очень скучно:(",2
окей здесь был криповый смех https://t.co/1wOox8VacF,0
@Blurieface_ В АМЕРИКУ)),0
@qnDJb1KGUq4Wz2Z Маладец ☝️😁,1
серьезно я понимаю теперь почему скз шугаются его в гневе я бы тоже если честно,0
"Рукава высокого давления в Челябинске

#РВД #РукаваВысокогоДавления #Челябинск #УральскийПромышленныйЗавод #УПЗ 

https://t.co/kKhEqvtfEy",0
"Ты смотрела аниме, завернувшись в одеяло ,пока мама выделяла тебе комнату в семье....",0
"RT @fopubisykux: Арефьева как всегда рулит :) те, кто не может заценить вокал и музыку — зацените тексты ;) p.s. а вообще это страшно —",1
я хочу как можно быстрее пережить это период своей жизни:(,2
@WlodzislavS охуенно,1
"какая же доча у дуна умничка. заслуга конечно же эта его сестры, но ;; https://t.co/GKIrBkufw0",1
@emogrot зеленый,0
ВСЁ. НИКАКИХ ПАУКОВ. https://t.co/ltogAOcSjN,2
абсолютно все мальчики хайкью заслуживают всех прав,0
Срочно! Эрдоган дерзко и жестко предупредил Путина. В Кремле паника https://t.co/q68EkPzby6 с помощью @YouTube,2
@kritinka_nake сестра с парнем ссорятся(((,2
"@ntvru Воюя за свои меркантильные интересы, забыв о погибшем, Закон решили пустить в расход. Суки. Все.",2
Что думаете лент? https://t.co/p5ZXyk6RBk,0
"Люди не шарящие в бличе: это один человек
Фанаты: Опаньки Кон и Ичиго https://t.co/4H77kjem7f",0
@Sandy_mustache Это ещё вполне норм кстати,0
"@_lekarton_ шути давай, я посмотрю
первый раз вижу что ты стесняешься",0
"@epic_fake согласись, было бы смешно, если бы вокруг них собирались толпы протестующих))",1
@Pr_McCoy вот скорее всего) но красивооо,1
@_Ozick Там ролевики какие-то и они с помощью нашего контента отыгрывать. Твои видео там тоже были,0
"""сижу как большой"" (с)

уже кто-то делал тред ""Ярослав Баярунас как Дэвид Теннант, не умеющий сидеть на стульях""?",2
Приехала теща с мужем а Наташи дома нет))пиздец подкрался,1
Если что это диалог с моей матерью,0
Предательство нельзя пережить,2
"КАЙФ! День рождения дочурки получился просто лучшим из лучших) Выкладываю фотки. Кто просил- копируем. Потом, наверное альбом удалю) УРА))))",1
Сегодня опять начнется расстояние( но ради него я готова потерпеть.,2
@Fiku5Golubev Я лайкну,1
"сделаешь                        обязательно
его счастливым              
ради меня? https://t.co/v5XgKWjOLe",0
"Как же все таки офигенно просыпаться не от будильника, с мыслью,что тебе никуда не надо",1
"Ждала снег_долго ждала_и потом он пошел,когда мне он был не нужен;(",2
@jesuslovechuuya Не надо плакать!,1
"По стс показывают мульт с элементами: извращения, иногда матом и оголенными генеталиями. Весело:)",1
"Обновление флеш плеера, вроде решило проблему. Нафиг мне эта красивая предзагрузка appsах :(",2
"@eri_arika План
Если нужна помощь, зови
Я известный токсик человек",1
@veniyamin_abrik Это что за район?,0
Сафнауэр: В Испании Перес наверняка вернётся за руль,0
"ага, это на одном мясоперерабатывающем предприятии больше тысячи инфицированных.",2
"Я так люблю наблюдать за моментами, когда папе просто так, без повода, папе звонят его друзья из другой точки страны и даже мира)",1
-Какие суши заказываете? -А какие самые дорогие?))) шиковали с @PavlenkoKatisha,1
"Вчера выдала сестру замуж во второй раз. Всё было бы круто, если бы я не проспала педагогику из-за этого :((",2
@sklifasofsky там был я,0
начала смотреть син-пик Однажды в стране чудес)) про Алису)) люблю Алису в стране чудес)),1
@fuckubluebird1 кроме них я ела ещё так что это не считается,0
Я так зла,2
"@no_boobs_ Она обожает Макара просто, прям счастлива))",1
@BaNaNaN808 шото ваще хуйня,2
500р за килограмм чеснока. Вы там ёбу дали что ли?,2
Леголас оценил https://t.co/wAcZj3m7n3,0
"Если заставят включить камеру, то я менять положение телефона ради этого не собираюсь. Пусть наблюдают за красивым потолком",2
"Быть зависимой от родителей, то ещё говно",2
"Я очень была за Гелу всегда,но его молчание на выходки фанатов не оправдываю.Не верю,что не заходил,не видел,просто промолчал..и это обидно(",2
"@AndrewZu ну я как вижу многие пишут что ВК не работает более 8 часов, и что у многих не открывает страницы ((",2
"блин почему они не могут найти общий язык!
я понимаю с Тарасом тяжело но бл:(",2
Заставили демоны выйти по делам (но я уже дома) https://t.co/N6OEZEsvS9,0
@poranesio это гениально💁,1
"Продолжаем рубрику ""истина из уст окружения""
""-коронавирус - не повод писать бывшим""",0
если тебе вдруг покажется что время летит быстро сделай планку,0
@evlgyu потому что тебе нужно поспать арина 😠😠😠😠😠,2
"@Lubastick не за что :) я могу тебе даже ссылку глянуть чуть позже :) есть полная запись в 4х частях, только там кое-где звук запаздывает.",1
"узнала, что краш моей лп вчера вскрылся.

сежу.",2
@Kot_Teleport_ Почему?,0
@AnatoliiBomj у меня мать неделю назад посадила,0
мне в принципе комфортно {': сама с собой веду беседу,1
@diphyleia_grayi я думаю это легко объяснить их же одевает см,0
"в 00:00 альбом ЛСП, я чет и не заметил как пришло 10 сентября 2020 года",0
"@gmick706 @Nadyu_lya Но как показывают в кино, пистешь, он не закрывал глаз🤣🤣🤣",0
@devil_ies Французский,0
короче в пизду вашего дворецкого там стекло нахцй,2
"второй день ЛЧ) НАДЕЮСЬ, более интересный, чем вчерашний)) даже поспал перед футболом немного))",1
Рада,1
@starik33333 Уточните пожалуйста: сексы теперь вообще нельзя или только вам?🙄,0
Я не знаю как сдавать алгебру:( Это ужас! Потратила на контрольную по алгебре 3 часа... Фу  фу фу!,2
"“@dmtraber: Иван Охлобыстин предложил принудительно лечить своего стилиста-гея http://t.co/QwNhQYQNG0”Опять на двух стульях, Ваня , борец(((",2
"@rambutan_kun @zabuivchivaya Круто, однако 👍 Найс придумали",1
"@mmeddo_ 🥺
Там вроде один акк  вообще перестал работать",2
хочу пасту и вино,1
"RT @39Tarzan: Алгебра очень  сложная(( намного труднее, чем русский((",2
@axstr0 Соболезную https://t.co/pM9npo9dUd,2
@Youdisobeyorder Все ладно извени не злисб на меня....,1
"@etherealcorn чем ты двигаешь на пенисборде 🤔🤔🤔
надо свой лонгборд расчехлить",0
сегодня Всероссийский день трезвости))))),1
"надо встать, одеться и сгонять за углём для калика, но ТАК ПИЗДЕЦ ЛЕНЬ",2
"@_irisme Бля, на предпродаже дешевле будет..",2
@GLOBALL78 @violator14 Я не оправдываю чтоб вы понимали они все заработали на нюрнберг,0
@tacos219 какая прелесть😍♥️😍♥️😍♥️😍♥️,1
я нашла вот это в сохраненках и я промолчу потому что я реву https://t.co/TkQHHEnRVw,2
"RT @palnom6: Дома сделали натяжные потолки. Теперь встаю на стул и начинаю его трогать, чтобы он болтался как желе :)",1
@Trrealent Я уже умывалась вроде😩 Может льдом попробовать?😂 Или чайные пакетики на глаза..😂😂,1
"RT @andrew_deineko: норм че,делай репост,если ты живешь в этой стране ((  ",2
Я щас сорвусь нахер https://t.co/weMGp1vaGB,2
"я как обычно из крайности в крайность, у меня либо полный пофигизм, либо нервный срыв",2
Крутой же день!,1
@osaakji прощай.,0
я не понимаю кому мне доверять я уже никому не ДОВЕРЯЮ https://t.co/7RETL7wxYd,2
RT @victoria_shan: 86 минут до Дня Рождения @NagaevaV с наступающим :*,1
@coldmaaay Если бы только город... в тот день в Намцах тоже интернет пропал,2
ну штош пойду сохранять ау,0
"Как  и ожидалось по отзывам о поезде #339 ""Нижний-Новороссийск"", туалеты не работают! На реплику:""Да здравствует РЖД"", проводница обиделась(",2
@ouououch Я когда окно мыл в кухне голуби слетались смотреть на меня.,0
RT @IgorZ_ua: Новости шоу-бизнеса. Стас Михайлов составляет тексты своих песен из статусов девушек вКонтакте! :))) #СтасМихайлов #вКонтакте,1
