Text,Class
как же я люблю титьки  https://t.co/C2M8rMDFyc,1
вот что-то мне подсказывает если бы я сейчас с кем-нибудь гуляла обнималась и целовалась все было бы проще,1
@doublehhwan Это капец как грустненько~,0
@tetya__masha Ахахах https://t.co/Hbwp1gaVZT,1
слягу ли я с гастритом к концу лета,0
@UvazhaemiyYa Вспомнила про любовника и стало жаль тебя)),1
люблю их до невозможности  https://t.co/3FU1LnF0uJ,1
"@9_manaysimply В стране все зашибись,можно и потанцевать же",1
"Степень скучания по Новосибу, его бляцким кабакам и братюням достигла пика 😭",0
"@121u_everyDAY Блин, плюсую! Хоть бы шли спать в норм настроении а не в бешоном 5555555",0
@xyxmay жаль в майнкрафте нельзя держаться за ручки https://t.co/IPWHdBPEDu,0
@Alyonu6ka_k В последнее время мне снится бредятина и это очень стремно.,0
Без ресниц чувствую себя чмом,0
Че притихла сука я хочу чтоб ты боролась за своего бывшего до последнего вздоха сидя на квадратном мужле,0
"@kotyakotika Слишком стар*
Блять, Т9, иди нахуй.",0
"@FoxesAreHere Вот да, это охуенно",1
@ramon_merkader Светлая память герою!🙏,1
"@A9niBearn Ааа, ну тогда норм 😂",1
@deforest411 Ипотеку похоже платит!🤗,1
@BTS_twt ЛЮБЛЮ ТЕБЯ,1
"@deadpul040120 Шикарно, щщетаю",1
"Фан-бои: Блин! Наранча такой милый и добрый:)

Наранча на самом деле: https://t.co/AOt1PdNw5r",1
Как быстро выплеснуть свой негатив без последствий? Я не могу уже все это говно держать в себе,0
@jgannii я счастлив🥰,1
"@chunghamygff За это и отпиздить можно, и никто не будет против",0
Я ЩАС ЗАРЕВУ ВЫ ПОНИМАЕТЕ https://t.co/M9CbnvkdOV,0
"Вот всегда знал, что Питер культурная столица мира! https://t.co/3w5xkbsk0H",1
@_leCitron Предложи варианты)),1
"Я золь, но из-за усталости могу только тихонечко позлиться",0
"ТАК СТОП

НАВАЛЬНЫЙ В КОМЕ?
ЧТО?...",0
"@valeraa_s ну всё же впервые бывает 
аа?😂",1
"Тупорылый блять
Слов нет",0
@Greenglazki2 Прюэт 🌹😘,1
"Упал с 80-метровой высоты: в Крыму спасли жизнь парашютисту
https://t.co/bRY9sUPQ19 https://t.co/oH59jyVdCn",1
@iamnotafraidbch ХХХАХАХАХАХАХХАХАХВХХАХА ОБОЖАЮ АХХАХАХАХАХХАХАХВ,1
"я не знаю как после того,что ты сделал ты по отношению ко мне ты имеешь право писать мне как не в чем не бывало..",0
"@Britny1999 @NickKaramoff Так, я вас сейчас удалю из интернета",0
душераздирающий пост вк от см чуть не заставил меня разрыдаться,0
«Все локации очень крутые» — DrDisRespect поделился впечатлениями от Warzone – https://t.co/7ePSwMdMmi https://t.co/pulNpQjLB3,1
"Нет бы на месяц изолировать, а нет надо же видеться",0
"@sickbastaard это да, но этим они показывают свою некультурность.",0
пиздец как мне смешно https://t.co/pvZEAXKsz3,1
"@Peretyatkov @VarapaevD Меня грабить?) вас на страну ваша идеология кинула, поколение рабов",0
"@Olenka1108 @vertihvostka1 @chesovago Не думаю, что это так работает",0
Хочу бананов в шоколаде,1
@pronina_001 Ночь-лучшее время..,1
"Бля.............

Вы помните, когда зарегистрировались в Твиттере? Я помню! #МояГодовщинаВТвиттере https://t.co/CoYTXfDdIu",1
"https://t.co/sAfcbfnWYn

НУ полетели",1
"@Pedro__Sanchez лучше б со своими выросшими детьми время так стремились проводить. хотя, судя по реплаям не шибко им с вами интересно",0
"Ощущение, будто я застрял в марте этого года.
 А уже конце сентября",0
"@JustUndiesChch Такой аппетитный ""бугорок"" Мммм.",1
"ПОЛИЦИЯ ВЫШЛА НА ПРОТЕСТЫ: ""НАС НЕ УВАЖАЮТ!"" https://t.co/CF1zaVnhF4 через @YouTube",0
@MaSpace77 Я верю! Так что)),1
это выглядит будто он нахуй в прошлом https://t.co/tdvIXbM9k4,0
"Поделилась с Ваней снами. Оказывается, что ему снилось, что я беременна",1
@regulflop спасибо что уделила время 🎡🥺,1
"@kolobokushka Нахуй вы вообще эту хуйню смотрите???
Он же глумится на вами, лохи!",0
"dramatic portrait 🖤

(никакой обработки, просто исо вниз и яркий солнечный свет)) https://t.co/7wtapiwv5B",1
@ONYTUK какой милаш 🥺,1
так захотелось вновь тебя услышать...,1
"ещё хочу йогу перед сном, мне нравится йога в кровати",1
@nalaine_art это мой арт-акк!!!!!! Подписывайтесь!!!!!!!,1
2020 год вызывает синдром Туретта,0
@naokuyan АХАХПХАХАХАХАХАХХАХА,1
@mg__mstrs Мдаа тт прям не радует,0
"@kurt_maximoff блять только что хотела скачать клипы со стримхаты и поняла что она была у вовы а он в бане
ахуеть",0
благодаря моему солнышку мне теперь очень спокойно и тепло,1
"Хорошо, Соня, повторяем за мной.
Мы не обижаемся на людей.
Давай ещё раз.
МЫ НЕ ОБИЖАЕМСЯ НА ЛЮДЕЙ.",1
Очень знаете НЕВОВРЕМЯ всё это ну ладно до ноября подождёт.,0
У меня походу температура 👌,0
@adelinaloh про мемы прям больно,0
@rurieeeee_ Какая милаха!,1
@d5SayyUAL0rLSBL Не верю соц опросам. Кто платит тот и музыку заказывает.....,0
плизз скажите какой у вас идеал твиттерской??? хочу быть вашим идеальном🥺🤲🏼 https://t.co/PdkBlHRB5S,1
эти фото 🤤🤤🤤 https://t.co/VATzoH6eLv,1
@GolyDovolen И гандон клонированный,0
@saharnaya_zhopa будем уповать на лучшее,1
"@Ultimate_Ded Ты умница. Ты правда молодец. Ты достоин любви. То, что ты делаешь для всех- прекрасно, как и ты сам 🤲💜💜💜💜💜",1
блять! https://t.co/iR2pSTbN4q,0
@_voskresni Очень классный рисунок😍,1
"О, моя любимая https://t.co/xS2W503DYU",1
"@almondmk Обожаю этот момент, когда рука по руке, даже мурашки по коже😍😍😍 @sencalkapimi__",1
"- Локи?
- Что?
- Я тебя тоже люблю. - сказал Тор и поцеловал Локи.",1
@stiraliLaskoy ну просто радость из штанов)) понимаю вас!,1
киньте если хотите а то я чёт проснулась и мне скучно https://t.co/UoldZlewOy,0
у нас отменили последние 2 пары так как ДЕНЬ ОСВІТЯНИНА,1
всё никак не могу привести био в порядок там висит только один клоун всё время забываю 😪,0
@__wheein_ Скучаем по тебе.,1
бля аня тейлор джой такая прекрасная,1
"Выложила рисунок и первой моей мыслью через минуту было ""бля, я через телефон не проверила""",0
РОССИНЕ ЕБНУТЫЕ ГДЕ ГОЛОС БЕЛАРУСИ Ф пиздецц https://t.co/tL34av0V5j,0
@yakisyatipisya @gehryesh 100 баллов!!! Спасибо!!!,1
@shixxt1 блин я бы сделала но мне не очень подходит под аватарку блин,0
@Pyrotechnig Это я знал всегда 💪🍄,1
@yourdeadpoet Спасибо,1
"Время колокольчиков — Европе предлагают объявить Россию врагом
https://t.co/woheJOkWYr",0
"Вот и снова ты исчез для меня, безвременно и по своему желанию",0
@hot_wheells @coldlinaaa я так сейчас обрадовалась что вы тоже прочувствовали эту атмосферу 😔😔😔🥺🥺,1
@parabolicbranch Потому что это не ориентация вообще-т х),1
Богиня в кадре💔 https://t.co/Otj4YyCKrm,1
"причем левой рукой я могу это сделать чисто на похуе, а правая прям чат покидает, стоит мне только попробовать...............",0
у меня сопли.? зачем,0
@ahhazza_ Я хочу,1
блять меня так хуево подстригли что я похожа на томбоя сука 😭,0
@Iamjustira Удачи 🚀,1
@Durevestnik Держись! 👍,1
@DedPerded1988 Всё правильно сказал! Сразу видно будущий лидер России и конкретно партии ЛДПР!,1
@itssohard_twt ты все равно мой бро 😳👍🏿👍🏿,1
"@RikoLibri Ага
Вчера называли провокаторами, а сегодня уже пьяницами и наркоманами
Просто нет слов",0
Давайте повеселимся! Ⓐⓝⓝⓐ сейчас в эфире в UP. https://t.co/RHGNKoDorN https://t.co/mW84cXA1kK,1
"еду на английский и думаю, мы бродяги, тупые, но не глупые, какой нахуй английский... теперь я еду играть в юфс",0
@evga_iii а какие песни ты слушаешь?🥺,1
