Text,Class
"@izvestia_ru все ненавидят русских свиней)) бить будут, больно! если только бить..",2
Чудо приспособление для нарезания резьбы. Супер приспособа. https://t.co/K36LUe3x8Z,1
"@AlenaKoosmos Ого,завтра школа начинается,пойду поплачу немного: (",2
@LittleBuddyy ну вот видишь!!)сестра правду говорит!))),1
Отредактировать 25 листов текста и не оставить крышу на месте - done,0
"Я хочу....я хочу....я даже не знаю чего я хочу,меня все устраивает и материальное и духовное...а нет,знаю,съесть бы грейпфрут:D",1
"С днем рождения, гинеколог ))) http://t.co/l0T4P3Cdk5",1
@souslecoeur приходи на рандеву купим тортику,1
@coffee__ad нет🥺,0
"@bereguchest *тихо засмеялась*
Ну, думаю, что принимать гостей все же труднее, чем ими быть, но спасибо",0
@choochumustache *закрываешь дверь*,0
"Надеюсь ты встретишь таких же добрых людей как я, только с деньгами тт прости (",2
"три часа сна решили напомнить о себе усталостью в середине дня.. срочно нужен кофе и надеется, что он поможет..)",1
@morkov_protuhla мы же одну заведем...,0
@DSY1973 У нас особый путь,0
В Пензе за сутки зарегистрировано 142 новых случая COVID-19 https://t.co/NUHHT2aaeR https://t.co/ieprYofHpx,2
"Мое состояние сейчас:

Плачу, играю в Клуб Романтики, фанфики по Поттеру и смотреть Шрека на репите уже второй день подряд",2
Отправляюсь под плед баеньки,0
@xing4enlovesyou (да простит меня сичэнь) да поел,0
нафиг я в школу приходила из за ддвух уроков((,2
"@alexsabirov @ruxaland @alduckz да ладно тебе,надо было объясниться и все,она нормальная,ты на себя не похож сегодня) меня замужней назвал)",1
"@dimagolod С ДНЁМ РОЖДЕНИЯ! Желаю тебе всего саамого наилучшего! Приезжай скорее! Люблю тебя, Димка:))) ждем)",1
"@krou_696 Сочувствую (
Жызнъ болъ",2
"оцениваю @NIALL_B_RUSSIA 
юп:10
шапка:10
фон:10
добра;)",1
доброе утро меня зовут лера но вы можете звать меня спать,0
Если я буду игнорировать это пройдёт https://t.co/vWaHHTlCwy,0
"🌸♡ ୨୧""
надеюсь, ничего не забыла ~ https://t.co/Weogd5qOm9",0
"@hyroscope нет, новости слишком хардкор для меня :-)",1
"@milkymilkykid @ihihidigor Дайте угадаю, вы вступили в фд ванди?)?)",0
"@jean_loves_u Ничего, всё в порядке, ты не дурачок!!",1
"мне даж пойти не к кому, потому что никому нахуй не сдалась 
ну как-то настроение стало еще хуевее",2
Getsize Купить https://t.co/Mv6ST0uMwv с помощью @YouTube,0
"Вы знакомы с работами Евгения Винокурова? У меня нет слов, чтобы описать, какие чувства вызывает его поэзия.",1
@taehyungbog Я ей передала она очень рада!!,1
@HOOLIBRS Кто сказал,0
"@arthywinter @__vivini Я больше того скажу, после того, как я фанфик написала, у меня самой какие-то чувства к ним проснулись хд",1
У меня создается ощущение что у меня нет друзей(,2
"@KeyjiShemale Какой пиздец, как же у них горит.",2
"В этой жизни я понял одно.

Нельзя ни с кем делиться тем, кого ты шипперишь, а кого нет.",0
@marierchel1 @13tucha Нет,0
А что случилось?? Почему ты оказался в больнице??(( — Надо было сделать операцию http://t.co/TbkGeCyCuS,2
блять! https://t.co/iR2pSTbN4q,2
@i_korotchenko @alex_potapov73 Ульяновск' 5800 рублей,0
"@JuviaRokudo Ну там берешь человеков, добавляешь чуйства и позы и описываешь это всё :""""D",0
В #Смоленск'ой области из интерната для пожилых госпитализирован 21 человек https://t.co/Rm1VuzpuzM https://t.co/P3sXEaxhfU,0
"Блин, иногда когда моя мама злится что мой папа шумит, я начинаю волноваться в друг я зашумлю ей! 😨",0
@aupshvrya приглашаю присоединиться (?),0
"@zhennoyy а ты запрети писать сообщения тем, кого нет у тебя в друзьях)",1
@CYXARIC я так делаю не в первый раз и обычно эффект у меня длится до полугода),1
"@eleonora_aleks Эличка ну какого хуя тред уже удален, что за качели настроения. Я был занят. Что я упустил?",2
КОРОЧЕ ОТКРЫВАЮ АКК РАДУЮСЬ ЖИЗНИ И ЕБАШУ СВОИ ФАНКАМЫ https://t.co/O9jEZGLyp5,1
"@wslwho тогда точно будет 3,14здец",2
на паблик какие-то не анимешники подписываются мне страшно,2
@meowthepsychic люблю😔,1
"@NikaPelmen забыла гордо сказать о том, что мы обнимались и нас есть возможность для этого ❤❤❤",1
"ночью дом был помечен БЧБ террористами, спасибо им https://t.co/XZdN53aV15",2
